key,name,solved,plan_len,cpu_time,expand_nodes,optimal_len
3,blocks3-task03,True,2,0.0019998550415039062,5,2
3,blocks3-task04,True,6,0.006512165069580078,15,6
3,blocks3-task05,True,6,0.006524324417114258,15,6
3,blocks3-task06,True,4,0.0066373348236083984,12,4
3,blocks3-task07,True,4,0.006030082702636719,14,4
3,blocks3-task08,True,6,0.011025190353393555,20,6
3,blocks3-task09,True,8,0.013617753982543945,19,8
3,blocks3-task10,True,4,0.006234884262084961,11,4
4,blocks4-task03,True,8,0.040197134017944336,22,8
4,blocks4-task04,True,10,0.04768943786621094,31,10
4,blocks4-task05,True,10,0.11546778678894043,82,10
4,blocks4-task06,True,12,0.056870460510253906,34,12
4,blocks4-task07,True,10,0.05288124084472656,47,8
4,blocks4-task08,True,12,0.08304476737976074,53,12
4,blocks4-task09,True,6,0.013590574264526367,19,4
4,blocks4-task10,True,8,0.021023988723754883,24,6
5,blocks5-task03,True,12,1.0585107803344727,339,12
5,blocks5-task04,True,6,0.04655051231384277,19,6
5,blocks5-task05,True,10,0.13696002960205078,33,10
5,blocks5-task06,True,10,0.10732054710388184,61,10
5,blocks5-task07,True,10,0.12245845794677734,39,10
5,blocks5-task08,True,10,0.29378223419189453,117,10
5,blocks5-task09,True,14,0.07221817970275879,45,12
5,blocks5-task10,True,14,0.09104061126708984,60,10
6,blocks6-task03,True,14,0.5319485664367676,126,10
6,blocks6-task04,True,26,1.5274879932403564,328,16
6,blocks6-task05,True,12,0.39784693717956543,102,8
6,blocks6-task06,True,26,2.6180403232574463,464,14
6,blocks6-task07,True,14,1.2408907413482666,233,12
6,blocks6-task08,True,22,0.8737897872924805,170,14
6,blocks6-task09,True,14,0.4377307891845703,76,14
6,blocks6-task10,True,16,3.510622262954712,642,10
7,blocks7-task03,True,48,11.664973735809326,1183,18
7,blocks7-task04,True,26,2.5681655406951904,381,16
7,blocks7-task05,True,36,28.600404739379883,2844,14
7,blocks7-task06,True,40,14.57075309753418,1363,16
7,blocks7-task07,True,28,27.2717444896698,2551,20
7,blocks7-task08,True,18,18.6354820728302,1902,14
7,blocks7-task09,True,40,19.684717416763306,3143,14
7,blocks7-task10,True,24,1.4103548526763916,184,14
